"Lake","Month","Date_Sam","Phylum","RelAbund"
"Lake Mohegan","June","6-01_LM","Bacteroidota",0.241510663358645
"Lake Mohegan","June","6-01_LM","Bdellovibrionota",0.00215522642407839
"Lake Mohegan","June","6-01_LM","Calditrichota",0
"Lake Mohegan","June","6-01_LM","Campylobacterota",0.000150364634238027
"Lake Mohegan","June","6-01_LM","Chloroflexi",0.00187955792797534
"Lake Mohegan","June","6-01_LM","Cloacimonadota",0
"Lake Mohegan","June","6-01_LM","Crenarchaeota",0
"Lake Mohegan","June","6-01_LM","Cyanobacteriota",0.0502468486078741
"Lake Mohegan","June","6-01_LM","Deinococcota",0.000125303861865023
"Lake Mohegan","June","6-01_LM","Dependentiae",0
"Lake Mohegan","June","6-01_LM","Desulfobacterota",0.00187955792797534
"Lake Mohegan","June","6-01_LM","Elusimicrobiota",5.01215447460091e-05
"Lake Mohegan","June","6-01_LM","Euryarchaeota",0
"Lake Mohegan","June","6-01_LM","Fermentibacterota",0
"Lake Mohegan","June","6-01_LM","Fibrobacterota",0.00100243089492018
"Lake Mohegan","June","6-01_LM","Firmicutes",0.0157131042778738
"Lake Mohegan","June","6-01_LM","Fusobacteriota",0
"Lake Mohegan","June","6-01_LM","Gemmatimonadota",0.00192967947272135
"Lake Mohegan","June","6-01_LM","Halobacterota",0.000300729268476054
"Lake Mohegan","June","6-01_LM","Hydrogenedentes",0.000200486178984036
"Lake Mohegan","June","6-01_LM","Latescibacterota",0
"Lake Mohegan","June","6-01_LM","Methylomirabilota",0
"Lake Mohegan","June","6-01_LM","Micrarchaeota",0
"Lake Mohegan","June","6-01_LM","Modulibacteria",0
"Lake Mohegan","June","6-01_LM","Myxococcota",0.000125303861865023
"Lake Mohegan","June","6-01_LM","Nanoarchaeota",0.000426033130341077
"Lake Mohegan","June","6-01_LM","Nitrospirota",0
"Lake Mohegan","June","6-01_LM","Patescibacteria",0.0136831817156605
"Lake Mohegan","June","6-01_LM","Planctomycetota",0.0150615241961757
"Lake Mohegan","June","6-01_LM","Proteobacteria",0.433852091321455
"Lake Mohegan","June","6-01_LM","Spirochaetota",0.000150364634238027
"Lake Mohegan","June","6-01_LM","Sumerlaeota",0
"Lake Mohegan","June","6-01_LM","Thermoplasmatota",0
"Lake Mohegan","June","6-01_LM","Verrucomicrobiota",0.0576147156855374
"Lake Mohegan","June","6-08_LM","Acidobacteriota",0
"Lake Mohegan","June","6-08_LM","Actinobacteriota",0.106291339793878
"Lake Mohegan","June","6-08_LM","Aenigmarchaeota",0
"Lake Mohegan","June","6-08_LM","Armatimonadota",0.0467620366097523
"Lake Mohegan","June","6-08_LM","Bacteroidota",0.197200430702969
"Lake Mohegan","June","6-08_LM","Bdellovibrionota",0.00686048300261498
"Lake Mohegan","June","6-08_LM","Calditrichota",0
"Lake Mohegan","June","6-08_LM","Campylobacterota",0
"Lake Mohegan","June","6-08_LM","Chloroflexi",0.000738347946469774
"Lake Mohegan","June","6-08_LM","Cloacimonadota",0
"Lake Mohegan","June","6-08_LM","Crenarchaeota",0
"Lake Mohegan","June","6-08_LM","Cyanobacteriota",0.016243654822335
"Lake Mohegan","June","6-08_LM","Deinococcota",0
"Lake Mohegan","June","6-08_LM","Dependentiae",0
"Lake Mohegan","June","6-08_LM","Desulfobacterota",0
"Lake Mohegan","June","6-08_LM","Elusimicrobiota",0
"Lake Mohegan","June","6-08_LM","Euryarchaeota",0
"Lake Mohegan","June","6-08_LM","Fermentibacterota",0
"Lake Mohegan","June","6-08_LM","Fibrobacterota",0
"Lake Mohegan","June","6-08_LM","Firmicutes",0.0021227503461006
"Lake Mohegan","June","6-08_LM","Fusobacteriota",0
"Lake Mohegan","June","6-08_LM","Gemmatimonadota",0
"Lake Mohegan","June","6-08_LM","Halobacterota",0
"Lake Mohegan","June","6-08_LM","Hydrogenedentes",0
"Lake Mohegan","June","6-08_LM","Latescibacterota",0
"Lake Mohegan","June","6-08_LM","Methylomirabilota",0
"Lake Mohegan","June","6-08_LM","Micrarchaeota",0
"Lake Mohegan","June","6-08_LM","Modulibacteria",0
"Lake Mohegan","June","6-08_LM","Myxococcota",0.00316874327026611
"Lake Mohegan","June","6-08_LM","Nanoarchaeota",0
"Lake Mohegan","June","6-08_LM","Nitrospirota",0
"Lake Mohegan","June","6-08_LM","Patescibacteria",0.000461467466543609
"Lake Mohegan","June","6-08_LM","Planctomycetota",0.0234425473004153
"Lake Mohegan","June","6-08_LM","Proteobacteria",0.222981079833872
"Lake Mohegan","June","6-08_LM","Spirochaetota",0
"Lake Mohegan","June","6-08_LM","Sumerlaeota",0
"Lake Mohegan","June","6-08_LM","Thermoplasmatota",0
"Lake Mohegan","June","6-08_LM","Verrucomicrobiota",0.373727118904784
"Lake Mohegan","June","6-16_LM","Acidobacteriota",0.00747153373218274
"Lake Mohegan","June","6-16_LM","Actinobacteriota",0.149237682997436
"Lake Mohegan","June","6-16_LM","Aenigmarchaeota",0
"Lake Mohegan","June","6-16_LM","Armatimonadota",0.0082435003170577
"Lake Mohegan","June","6-16_LM","Bacteroidota",0.133632929888892
"Lake Mohegan","June","6-16_LM","Bdellovibrionota",0.00190234622701332
"Lake Mohegan","June","6-16_LM","Calditrichota",0.000110280940696424
"Lake Mohegan","June","6-16_LM","Campylobacterota",0
"Lake Mohegan","June","6-16_LM","Chloroflexi",0.00358413057263378
"Lake Mohegan","June","6-16_LM","Cloacimonadota",0
"Lake Mohegan","June","6-16_LM","Crenarchaeota",0
"Lake Mohegan","June","6-16_LM","Cyanobacteriota",0.123018389346861
"Lake Mohegan","June","6-16_LM","Deinococcota",0
"Lake Mohegan","June","6-16_LM","Dependentiae",0
"Lake Mohegan","June","6-16_LM","Desulfobacterota",0.00322571751537041
"Lake Mohegan","June","6-16_LM","Elusimicrobiota",0
"Lake Mohegan","June","6-16_LM","Euryarchaeota",5.51404703482121e-05
"Lake Mohegan","June","6-16_LM","Fermentibacterota",0
"Lake Mohegan","June","6-16_LM","Fibrobacterota",0.00206776763805795
"Lake Mohegan","June","6-16_LM","Firmicutes",0.0091257478426291
"Lake Mohegan","June","6-16_LM","Fusobacteriota",0.000523834468308015
"Lake Mohegan","June","6-16_LM","Gemmatimonadota",0.00849163243362466
"Lake Mohegan","June","6-16_LM","Halobacterota",0.00261917234154007
"Lake Mohegan","June","6-16_LM","Hydrogenedentes",8.27107055223181e-05
"Lake Mohegan","June","6-16_LM","Latescibacterota",0.000165421411044636
"Lake Mohegan","June","6-16_LM","Methylomirabilota",0
"Lake Mohegan","June","6-16_LM","Micrarchaeota",8.27107055223181e-05
"Lake Mohegan","June","6-16_LM","Modulibacteria",0.00027570235174106
"Lake Mohegan","June","6-16_LM","Myxococcota",0.0045766590389016
"Lake Mohegan","June","6-16_LM","Nanoarchaeota",0
"Lake Mohegan","June","6-16_LM","Nitrospirota",0
"Lake Mohegan","June","6-16_LM","Patescibacteria",0.000744396349700863
"Lake Mohegan","June","6-16_LM","Planctomycetota",0.0311267955115657
"Lake Mohegan","June","6-16_LM","Proteobacteria",0.439662540321469
"Lake Mohegan","June","6-16_LM","Spirochaetota",0.00352899010228557
"Lake Mohegan","June","6-16_LM","Sumerlaeota",0
"Lake Mohegan","June","6-16_LM","Thermoplasmatota",0.000937387995919605
