"ASV","Module_Color","LM-6-1","LM-6-16","LM-6-19","LM-6-8","LM-7-14","LM-7-22","LM-7-28","LM-7-8","LM-8-12","LM-8-18","LM-8-26","LM-8-4","LM-9-1","LM-9-16","LM-9-9","LR-6-1","LR-6-16","LR-6-19","LR-6-8","LR-7-14","LR-7-22","LR-7-28","LR-7-8","LR-8-12","LR-8-18","LR-8-26","LR-8-4","LR-9-1","LR-9-16","LR-9-9","TTL-6-1","TTL-6-16","TTL-6-19","TTL-6-8","TTL-7-14","TTL-7-22","TTL-7-28","TTL-7-8","TTL-8-12","TTL-8-18","TTL-8-26","TTL-8-4","TTL-9-1","TTL-9-16","TTL-9-9"
"16S_ASV_594","grey",0,0,0,0,0.504428784444854,0,0,0,0,0.444419730431889,0,0,0,0,0.355435675717778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533570528512208,0,0,0,0.298274993135947,0,0,0,0.219186460864567,0
"16S_ASV_595","blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169030850945703,0,0.508850244599107,0.353553390593274,0.174233013109292,0.273861278752583,0.3659625273557,0.508850244599107,0.298807152333598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_596","grey",0.373543683818814,0.335710071693025,0,0,0,0,0.340997169735237,0,0.260726932047328,0.316510490942347,0,0,0,0.445610674229733,0,0,0,0,0.257273442720307,0.223806714462017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307915840092072,0,0,0,0,0,0,0,0,0,0.231661958399709,0
"16S_ASV_597","grey",0,0,0.410070023253807,0,0.231661958399709,0,0,0,0,0,0,0,0.396766898036441,0,0,0.467168994486642,0,0,0.485938223508081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324877849619706,0,0,0,0.246622987639434,0
"16S_ASV_598","green",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500447027357954,0.277350098112615,0,0,0.335710071693025,0.316510490942347,0.223806714462017,0.289963294204092,0,0.451592293207531,0.34877757391266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_6","black",0,0,0.077968117558545,0,0.0884075353936109,0.152415776162686,0,0.261097586413426,0.189841902366288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126751729252237,0.501842025959037,0,0.304831552325372,0.59158962904028,0.289863489214328,0.195476415693781,0,0,0,0.160058608458135,0,0,0
"16S_ASV_60","yellow",0,0,0,0,0,0.121543108701099,0.322161262084501,0,0.358342142245495,0.493902210907578,0.606779876216918,0.355689684296792,0,0,0.119974744817146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_602","purple",0,0,0,0.26846242208561,0,0.207950097964015,0,0,0,0.228587515521413,0,0,0.199097060851334,0.294085848837523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367607311046904,0,0.199097060851334,0,0.258198889747161,0,0,0,0.536924844171219,0,0,0,0,0.420210157631365
"16S_ASV_605","grey",0.294351149612123,0,0,0,0,0,0,0,0,0,0,0,0,0.480673414500888,0,0,0,0,0,0,0.33988743092967,0,0,0.426978300753187,0.240336707250444,0,0,0,0,0,0,0,0,0,0,0,0,0.32356319443692,0.424859288662087,0,0,0.203755356953786,0,0,0
"16S_ASV_606","brown",0.28500427509619,0,0.38472644883503,0.33988743092967,0.329094589893959,0,0,0.297401502063461,0,0,0,0,0.291268853683935,0,0.288153589210215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350347944635714,0,0,0,0,0,0,0,0,0.194694984999911,0,0,0.360505060875666,0,0
