"ASV","Module_Color"
"16S_ASV_165","red"
"16S_ASV_179","red"
"16S_ASV_191","red"
"16S_ASV_192","red"
"16S_ASV_194","red"
"16S_ASV_203","red"
"16S_ASV_229","red"
"16S_ASV_242","red"
"16S_ASV_248","red"
"16S_ASV_268","red"
"16S_ASV_271","red"
"16S_ASV_278","red"
"16S_ASV_281","red"
"16S_ASV_492","red"
"16S_ASV_571","red"
"16S_ASV_626","red"
"16S_ASV_671","red"
"16S_ASV_709","red"
"16S_ASV_736","red"
"16S_ASV_1241","red"
"18S_ASV_15","red"
"18S_ASV_23","red"
"18S_ASV_36","red"
"18S_ASV_37","red"
"18S_ASV_49","red"
"18S_ASV_51","red"
"18S_ASV_57","red"
"18S_ASV_71","red"
"18S_ASV_73","red"
"18S_ASV_99","red"
"18S_ASV_116","red"
"18S_ASV_191","red"
"18S_ASV_225","red"
"18S_ASV_239","red"
"18S_ASV_254","red"
"18S_ASV_301","red"
"18S_ASV_340","red"
"18S_ASV_343","red"
"18S_ASV_375","red"
"18S_ASV_377","red"
"18S_ASV_384","red"
"18S_ASV_386","red"
"18S_ASV_421","red"
"18S_ASV_529","red"
"18S_ASV_553","red"
"18S_ASV_820","red"
"16S_ASV_8","turquoise"
"16S_ASV_24","turquoise"
"16S_ASV_30","turquoise"
"16S_ASV_39","turquoise"
"16S_ASV_41","turquoise"
"16S_ASV_45","turquoise"
"16S_ASV_48","turquoise"
"16S_ASV_72","turquoise"
"16S_ASV_93","turquoise"
"16S_ASV_103","turquoise"
"16S_ASV_110","turquoise"
"16S_ASV_113","turquoise"
"16S_ASV_118","turquoise"
"16S_ASV_122","turquoise"
"16S_ASV_126","turquoise"
"16S_ASV_132","turquoise"
"16S_ASV_139","turquoise"
"16S_ASV_140","turquoise"
"16S_ASV_144","turquoise"
"16S_ASV_153","turquoise"
"16S_ASV_155","turquoise"
"16S_ASV_156","turquoise"
"16S_ASV_162","turquoise"
"16S_ASV_167","turquoise"
"16S_ASV_168","turquoise"
"16S_ASV_175","turquoise"
"16S_ASV_180","turquoise"
"16S_ASV_181","turquoise"
"16S_ASV_185","turquoise"
"16S_ASV_187","turquoise"
"16S_ASV_215","turquoise"
"16S_ASV_218","turquoise"
"16S_ASV_219","turquoise"
"16S_ASV_220","turquoise"
"16S_ASV_222","turquoise"
"16S_ASV_223","turquoise"
"16S_ASV_225","turquoise"
"16S_ASV_227","turquoise"
"16S_ASV_238","turquoise"
"16S_ASV_239","turquoise"
